2019/08/11 11:34:14 [error] 24618#24618: *2552 readv() failed (104: Connection reset by peer) while reading upstream, client: 164.40.161.24, server: 68.183.94.131, request: "POST / HTTP/2.0", upstream: "uwsgi://127.0.0.1:3031", host: "68.183.94.131"
2019/08/11 11:39:30 [error] 24618#24618: *2658 readv() failed (104: Connection reset by peer) while reading upstream, client: 46.53.62.191, server: 68.183.94.131, request: "POST / HTTP/2.0", upstream: "uwsgi://127.0.0.1:3031", host: "68.183.94.131"
2019/08/11 11:41:34 [error] 24618#24618: *2707 readv() failed (104: Connection reset by peer) while reading upstream, client: 194.31.72.123, server: 68.183.94.131, request: "POST / HTTP/1.1", upstream: "uwsgi://127.0.0.1:3031", host: "68.183.94.131"
2019/08/11 12:01:01 [error] 24618#24618: *3078 readv() failed (104: Connection reset by peer) while reading upstream, client: 178.52.81.197, server: 68.183.94.131, request: "POST / HTTP/2.0", upstream: "uwsgi://127.0.0.1:3031", host: "68.183.94.131"
2019/08/11 12:02:36 [error] 24618#24618: *3115 readv() failed (104: Connection reset by peer) while reading upstream, client: 41.210.147.156, server: 68.183.94.131, request: "POST / HTTP/2.0", upstream: "uwsgi://127.0.0.1:3031", host: "68.183.94.131"
2019/08/11 12:05:17 [error] 24618#24618: *3175 readv() failed (104: Connection reset by peer) while reading upstream, client: 94.47.20.125, server: 68.183.94.131, request: "POST / HTTP/2.0", upstream: "uwsgi://127.0.0.1:3031", host: "68.183.94.131"
2019/08/11 12:07:35 [error] 24618#24618: *3218 readv() failed (104: Connection reset by peer) while reading upstream, client: 154.227.172.53, server: 68.183.94.131, request: "POST / HTTP/2.0", upstream: "uwsgi://127.0.0.1:3031", host: "68.183.94.131"
2019/08/11 12:16:49 [error] 24618#24618: *3391 readv() failed (104: Connection reset by peer) while reading upstream, client: 178.52.136.13, server: 68.183.94.131, request: "POST / HTTP/2.0", upstream: "uwsgi://127.0.0.1:3031", host: "68.183.94.131"
2019/08/11 12:20:24 [error] 24618#24618: *3454 readv() failed (104: Connection reset by peer) while reading upstream, client: 66.96.248.219, server: 68.183.94.131, request: "POST / HTTP/2.0", upstream: "uwsgi://127.0.0.1:3031", host: "68.183.94.131"
2019/08/11 12:23:42 [error] 24618#24618: *3528 readv() failed (104: Connection reset by peer) while reading upstream, client: 5.0.185.188, server: 68.183.94.131, request: "POST / HTTP/2.0", upstream: "uwsgi://127.0.0.1:3031", host: "68.183.94.131"
2019/08/11 12:25:58 [error] 24618#24618: *3582 readv() failed (104: Connection reset by peer) while reading upstream, client: 46.213.194.4, server: 68.183.94.131, request: "POST / HTTP/2.0", upstream: "uwsgi://127.0.0.1:3031", host: "68.183.94.131"
2019/08/11 12:42:03 [error] 24618#24618: *3939 readv() failed (104: Connection reset by peer) while reading upstream, client: 94.47.79.137, server: 68.183.94.131, request: "POST / HTTP/1.1", upstream: "uwsgi://127.0.0.1:3031", host: "68.183.94.131"
2019/08/11 12:45:49 [error] 24618#24618: *4017 readv() failed (104: Connection reset by peer) while reading upstream, client: 196.1.228.106, server: 68.183.94.131, request: "POST / HTTP/2.0", upstream: "uwsgi://127.0.0.1:3031", host: "68.183.94.131"
2019/08/11 12:47:53 [error] 24618#24618: *4060 readv() failed (104: Connection reset by peer) while reading upstream, client: 31.9.65.155, server: 68.183.94.131, request: "POST / HTTP/2.0", upstream: "uwsgi://127.0.0.1:3031", host: "68.183.94.131"
2019/08/11 12:49:15 [error] 24618#24618: *4087 readv() failed (104: Connection reset by peer) while reading upstream, client: 178.52.132.247, server: 68.183.94.131, request: "POST / HTTP/2.0", upstream: "uwsgi://127.0.0.1:3031", host: "68.183.94.131"
2019/08/11 13:07:01 [error] 24618#24618: *4467 readv() failed (104: Connection reset by peer) while reading upstream, client: 188.133.60.243, server: 68.183.94.131, request: "POST / HTTP/2.0", upstream: "uwsgi://127.0.0.1:3031", host: "68.183.94.131"
2019/08/11 13:08:52 [error] 24618#24618: *4512 readv() failed (104: Connection reset by peer) while reading upstream, client: 197.156.107.27, server: 68.183.94.131, request: "POST / HTTP/2.0", upstream: "uwsgi://127.0.0.1:3031", host: "68.183.94.131"
2019/08/11 13:12:06 [error] 24618#24618: *4578 readv() failed (104: Connection reset by peer) while reading upstream, client: 178.52.202.154, server: 68.183.94.131, request: "POST / HTTP/2.0", upstream: "uwsgi://127.0.0.1:3031", host: "68.183.94.131"
